Measure Mode: wall_time
Thread ID: 20079756
Fiber ID: 19903176
Total: 3.519878
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.44      0.083     0.016     0.000     0.068     8010   <Class::ActiveRecord::Base>#connection_handler
  0.44      0.051     0.016     0.000     0.036    11009   ActiveRecord::Type::Value#type_cast
  0.44      0.300     0.016     0.000     0.284     3005   ActiveSupport::Notifications::Fanout#finish
  0.44      0.016     0.016     0.000     0.000     2002   TZInfo::TimezoneProxy#real_timezone
  0.44      0.409     0.016     0.000     0.393     2002   ActiveRecord::ConnectionAdapters::SQLite3Adapter#execute
  0.44      1.953     0.016     0.000     1.938     5008  *Proc#call
  0.44      0.017     0.016     0.000     0.001     2004   SQLite3::Statement#get_metadata
  0.44      0.017     0.016     0.000     0.001     1001   ActiveRecord::Delegation::ClassMethods#create
  0.44      0.016     0.016     0.000     0.000     1001   Arel::InsertManager#create_values
  0.44      0.850     0.016     0.000     0.834     1001   ActiveRecord::ConnectionAdapters::AbstractAdapter#insert
  0.44      0.019     0.016     0.000     0.003     2002   ActiveRecord::AttributeMethods::TimeZoneConversion::TimeZoneConverter#type_cast_from_database
  0.44      0.016     0.016     0.000     0.000     1001   ActiveRecord::Base#_validate_callbacks
  0.44      0.129     0.016     0.000     0.114     7007  *Arel::Visitors::Reduce#visit
  0.44      0.016     0.016     0.000     0.000     8008   String#hash
  0.44      0.018     0.016     0.000     0.003     1001   ActiveRecord::Scoping::Named::ClassMethods#scope_attributes?
  0.44      0.016     0.016     0.000     0.000     5007   Hash#merge!
  0.44      0.016     0.016     0.000     0.000    10010   Hash#regular_writer
  0.44      0.016     0.016     0.000     0.000     1001   ActiveRecord::ConnectionAdapters::AbstractAdapter::SQLString#compile
  0.09      0.040     0.003     0.000     0.037     4004   <Class::TZInfo::TimeOrDateTime>#wrap
  0.09      0.057     0.003     0.000     0.054     6006   ActiveRecord::Type::DateTime#type_cast_for_database
  0.07      0.085     0.003     0.000     0.082     5005   ActiveModel::Dirty#attribute_change
  0.06      0.035     0.002     0.000     0.033    26027  *Hash#fetch
  0.06      0.037     0.002     0.000     0.035    15015   ActiveRecord::AttributeMethods::Dirty#original_raw_attribute
  0.06      0.084     0.002     0.000     0.082     7007   ActiveSupport::HashWithIndifferentAccess#initialize
  0.06      0.533     0.002     0.000     0.531     5005   ActiveRecord::AttributeMethods::Dirty#write_attribute
  0.06      0.002     0.002     0.000     0.000    33050   ThreadSafe::NonConcurrentCacheBackend#[]
  0.04      0.070     0.002     0.000     0.069     3005   ActiveSupport::Subscriber#start
  0.04      0.033     0.002     0.000     0.032     1001   ActiveRecord::QueryMethods#build_select
  0.04      0.002     0.002     0.000     0.000     4004   Kernel#tap
  0.04      0.017     0.002     0.000     0.016     4004   Struct#hash
  0.04      0.387     0.002     0.000     0.386     1001   ActiveRecord::Core#initialize
  0.04      0.338     0.002     0.000     0.337     1001   ActiveRecord::AttributeMethods::Dirty#cache_changed_attributes
  0.04      0.002     0.002     0.000     0.000     7014   <Class::Time>#now
  0.04      0.002     0.002     0.000     0.000     5005   ActiveRecord::LazyAttributeHash#[]=
  0.04      0.002     0.002     0.000     0.000     1001   ActiveRecord::Scoping::ScopeRegistry#raise_invalid_scope_type!
  0.04      0.301     0.002     0.000     0.300     3005   ActiveSupport::Notifications::Instrumenter#finish
  0.04      0.002     0.002     0.000     0.000     6006   <Module::TZInfo::RubyCoreSupport>#time_nsec
  0.04      0.052     0.002     0.000     0.051     3005   Kernel#loop
  0.04      0.021     0.002     0.000     0.020     8008   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.04      0.070     0.002     0.000     0.069    15015   ActiveModel::Dirty#changes_include?
  0.04      0.001     0.001     0.000     0.000     9015   ActiveSupport::SubscriberQueueRegistry#get_queue
  0.04      0.189     0.001     0.000     0.187     2002   ActiveRecord::ConnectionAdapters::SQLite3Adapter#quoted_date
  0.04      0.453     0.001     0.000     0.451     4004   ActiveRecord::ConnectionAdapters::Quoting#type_cast
  0.03      0.001     0.001     0.000     0.000     5005   <Class::ActiveRecord::Attribute>#from_database
  0.03      0.001     0.001     0.000     0.000     6006   TZInfo::TimezoneTransitionDefinition#at
  0.03      0.001     0.001     0.000     0.000    10010   ActiveRecord::Attribute#initialize
  0.03      0.053     0.001     0.000     0.052     3005   SQLite3::Statement#each
  0.03      0.001     0.001     0.000     0.000    25025   Kernel#kind_of?
  0.03      0.018     0.001     0.000     0.017     1001   Hash#transform_keys
  0.03      0.001     0.001     0.000     0.000     4004   ActiveSupport::TimeWithZone#is_a?
  0.03      0.033     0.001     0.000     0.032     6006   ActiveRecord::AttributeMethods::BeforeTypeCast#read_attribute_before_type_cast
  0.03      0.001     0.001     0.000     0.000     8008   Hash#to_hash
  0.03      0.059     0.001     0.000     0.058     6006   #<Class:0x609b868>#type_cast_for_database
  0.03      0.018     0.001     0.000     0.017     5005   ActiveSupport::HashWithIndifferentAccess#[]=
  0.03      0.018     0.001     0.000     0.017     8011   ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.03      0.049     0.001     0.000     0.048     3006   ActiveRecord::Type::String#type_cast_for_database
  0.03      0.034     0.001     0.000     0.033     6006   Time#to_time
  0.03      0.033     0.001     0.000     0.032     3005   ActiveSupport::Notifications::Event#initialize
  0.03      0.002     0.001     0.000     0.000     1001   Hash#transform_values
  0.03      0.002     0.001     0.000     0.001     1002   ActiveRecord::ConnectionAdapters::Transaction#initialize
  0.03      0.208     0.001     0.000     0.207    10010   ActiveRecord::Attribute#value_for_database
  0.03      0.002     0.001     0.000     0.001     8013   <Class::ActiveSupport::Duration>#===
  0.03      0.020     0.001     0.000     0.019     3005   SQLite3::Statement#bind_params
  0.03      0.001     0.001     0.000     0.000     1001   Arel::Nodes::SelectStatement#initialize
  0.03      0.020     0.001     0.000     0.019     8009   ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.03      0.001     0.001     0.000     0.000    12012   #<Class:0x3167028>#name
  0.03      0.001     0.001     0.000     0.000    10015   Kernel#nil?
  0.03      0.068     0.001     0.000     0.067     6006   TZInfo::TimeOrDateTime#<=>
  0.03      0.119     0.001     0.000     0.118    10010   ActiveRecord::Attribute#original_value
  0.03      0.035     0.001     0.000     0.034     5005   ActiveRecord::Attribute::FromDatabase#type_cast
  0.03      0.019     0.001     0.000     0.018     1001   ActiveRecord::Scoping#populate_with_current_scope_attributes
  0.03      0.001     0.001     0.000     0.000     6006   ActiveSupport::TimeWithZone#utc
  0.03      0.002     0.001     0.000     0.001     2002   ActiveRecord::AttributeMethods::TimeZoneConversion::TimeZoneConverter#convert_time_to_time_zone
  0.02      0.033     0.001     0.000     0.033     3003   ActiveRecord::Type::Value#type_cast_from_user
  0.01      0.001     0.001     0.000     0.000     1001   ActiveRecord::Core#set_transaction_state
  0.01      0.284     0.001     0.000     0.284     1001   ActiveRecord::AttributeAssignment#assign_attributes
  0.01      0.018     0.001     0.000     0.017     3005   ActiveSupport::Notifications::Event#duration
  0.01      1.603     0.001     0.000     1.603     1001   ActiveRecord::Base#_run_create_callbacks
  0.01      0.049     0.001     0.000     0.048     2002   ActiveSupport::HashWithIndifferentAccess#merge
  0.01      0.086     0.001     0.000     0.086     2004   Array#select
  0.01      0.001     0.001     0.000     0.000     1001   ActiveRecord::Base#persistable_attribute_names
  0.01      0.001     0.001     0.000     0.000     1001   Arel::SelectManager#from
  0.01      0.001     0.001     0.000     0.000     2002   TZInfo::TimezonePeriod#initialize
  0.01      0.032     0.001     0.000     0.031     4004   ActiveRecord::AttributeMethods#typecasted_attribute_value
  0.01      0.001     0.001     0.000     0.000     5002   Fixnum#<=>
  0.01      0.001     0.001     0.000     0.001     3005   <Class::ActiveRecord::RuntimeRegistry>#sql_runtime=
  0.01      0.017     0.001     0.000     0.016     6006   #<Class:0x609b868>#changed_in_place?
  0.01      0.001     0.001     0.000     0.000     8008   Time#utc?
  0.01      0.001     0.001     0.000     0.000     2002   Kernel#sprintf
  0.01      0.001     0.001     0.000     0.000     8010   <Module::Process>#pid
  0.01      0.035     0.001     0.000     0.035     5005   #<Module:0x60c0018>#__temp__9646
  0.01      0.001     0.001     0.000     0.000     6006   TZInfo::TimeOrDateTime#to_orig
  0.01      0.001     0.001     0.000     0.000     2002   Arel::Nodes::Binary#initialize
  0.01      0.016     0.001     0.000     0.016     1001   ActiveRecord::Base#record_timestamps
  0.01      0.187     0.001     0.000     0.186     2002   ActiveRecord::ConnectionAdapters::Quoting#quoted_date
  0.01      0.001     0.001     0.000     0.000     2004   ActiveRecord::Type::String#changed_in_place?
  0.01      0.001     0.001     0.000     0.000     4004   SQLite3::Statement#bind_param
  0.01      0.017     0.001     0.000     0.017     3005   <Class::ActiveRecord::RuntimeRegistry>#sql_runtime
  0.01      0.186     0.001     0.000     0.185     1001   ActiveRecord::ConnectionAdapters::TransactionManager#commit_transaction
  0.01      0.017     0.001     0.000     0.017     1000   #<Module:0x60c0018>#__temp__36f6e6471647f6f59646
  0.01      2.475     0.001     0.000     2.474     1001   ActiveRecord::AttributeMethods::Dirty#save
  0.01      3.520     0.001     0.000     3.519        1   AcessosTest#test_creation
  0.01      0.001     0.001     0.000     0.000     1000   ActiveRecord::AutosaveAssociation#save_belongs_to_association
  0.01      0.049     0.001     0.000     0.049     9015   ActiveRecord::LogSubscriber#logger
  0.01      0.001     0.001     0.000     0.000     1001   ActiveRecord::Inheritance::ClassMethods#abstract_class?
  0.01      0.001     0.001     0.000     0.000    11009   ActiveRecord::Type::Value#changed_in_place?
  0.01      0.291     0.001     0.000     0.290     1002   ActiveRecord::ConnectionAdapters::TransactionManager#begin_transaction
  0.01      0.001     0.001     0.000     0.000     1001   ActiveRecord::Delegation::ClassMethods#relation_class_for
  0.01      0.001     0.001     0.000     0.000     2002   ActiveSupport::TimeWithZone#initialize
  0.01      0.001     0.001     0.000     0.000     4007   Array#pop
  0.01      0.001     0.001     0.000     0.000     2002   TZInfo::TransitionDataTimezoneInfo#transition_before_end
  0.01      0.017     0.000     0.000     0.016     5005   <Class::#<Class:0x3167028>>#new
  0.01      0.000     0.000     0.000     0.000     1001   Array#&
  0.01      0.240     0.000     0.000     0.240     1001   ActiveRecord::ConnectionAdapters::Savepoints#create_savepoint
  0.01      0.000     0.000     0.000     0.000     7010   NilClass#nil?
  0.01      0.000     0.000     0.000     0.000     7010   Array#last
  0.01      0.000     0.000     0.000     0.000     1001   ActiveRecord::Timestamp#timestamp_attributes_for_create
  0.01      0.018     0.000     0.000     0.017     1001   Arel::Nodes::SelectCore#initialize
  0.01      0.016     0.000     0.000     0.016     4004   ActiveRecord::LazyAttributeHash#key?
  0.01      0.000     0.000     0.000     0.000     3006   Array#any?
  0.01      0.000     0.000     0.000     0.000     1002   <Class::ActiveSupport::Callbacks::Filters::Environment>#new
  0.01      0.054     0.000     0.000     0.053     5005   ActiveRecord::AttributeMethods::Dirty#save_changed_attribute
  0.01      1.937     0.000     0.000     1.936     1001   ActiveRecord::Timestamp#_create_record
  0.01      0.000     0.000     0.000     0.000     2002   ActiveModel::Errors#each
  0.01      0.000     0.000     0.000     0.000    12012   String#intern
  0.01      0.389     0.000     0.000     0.388     1001   ActiveRecord::Inheritance::ClassMethods#new
  0.01      0.001     0.000     0.000     0.000     1001   ActiveRecord::ConnectionAdapters::Quoting#quote_table_name
  0.01      0.103     0.000     0.000     0.103     6010   ActiveSupport::Notifications::Fanout::Subscribers::Evented#start
  0.01      3.018     0.000     0.000     3.017     1001   ActiveRecord::ConnectionAdapters::DatabaseStatements#transaction
  0.01      0.159     0.000     0.000     0.158     2002   ActiveSupport::TimeWithZone#time
  0.01      0.000     0.000     0.000     0.000     5005   String#gsub
  0.01      0.000     0.000     0.000     0.000     2002   ActiveRecord::ConnectionAdapters::TransactionState#finalized?
  0.01      0.000     0.000     0.000     0.000     1001   ActiveRecord::QueryMethods#order_values
  0.01      0.001     0.000     0.000     0.001     5002   Range#cover?
  0.01      0.000     0.000     0.000     0.000     1001   Array#|
  0.01      0.000     0.000     0.000     0.000     8008   Module#name
  0.01      0.000     0.000     0.000     0.000     2003   Hash#include?
  0.01      0.000     0.000     0.000     0.000     7007   Kernel#frozen?
  0.01      0.000     0.000     0.000     0.000    14014   TZInfo::TimeOrDateTime#to_time
  0.01      0.834     0.000     0.000     0.834     1001   ActiveRecord::ConnectionAdapters::DatabaseStatements#insert
  0.01      0.000     0.000     0.000     0.000     4008   SQLite3::Statement#column_count
  0.01      0.053     0.000     0.000     0.052     5005   ActiveRecord::AttributeMethods::Write#write_attribute_with_type_cast
  0.01      0.205     0.000     0.000     0.205     4004   ActiveRecord::ConnectionAdapters::Quoting#_type_cast
  0.01      0.571     0.000     0.000     0.571     6007   Array#map
  0.01      0.001     0.000     0.000     0.000     4004   ActiveRecord::AttributeMethods#pk_attribute?
  0.01      0.083     0.000     0.000     0.083     5005   ActiveRecord::Attribute::FromUser#type_cast
  0.01      0.053     0.000     0.000     0.053     5005   ActiveRecord::AttributeMethods::Write#write_attribute
  0.01      0.000     0.000     0.000     0.000     1001   Time#utc
  0.01      0.000     0.000     0.000     0.000     1001   Arel::SelectManager#distinct
  0.01      0.005     0.000     0.000     0.005     2002   <Class::ActiveSupport::HashWithIndifferentAccess>#new_from_hash_copying_default
  0.01      0.000     0.000     0.000     0.000     1001   ActiveModel::Errors#initialize
  0.01      0.000     0.000     0.000     0.000     2002   Time#mon
  0.01      0.017     0.000     0.000     0.016     1001   ActiveRecord::Base#_run_initialize_callbacks
  0.01      0.000     0.000     0.000     0.000    21033   Kernel#block_given?

* indicates recursively called methods
