Measure Mode: wall_time
Thread ID: 20079756
Fiber ID: 19903176
Total: 3.790256
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.001     0.001     0.000     0.000     5000   ActiveRecord::ConnectionAdapters::SQLite3Adapter#quote_column_name
  0.04      0.167     0.001     0.000     0.166     2000   ActiveRecord::ConnectionAdapters::SQLite3Adapter#quoted_date
  0.04      0.019     0.001     0.000     0.017     8000   ActiveRecord::ConnectionAdapters::ConnectionHandler#class_to_pool
  0.03      0.242     0.001     0.000     0.241     1000   ActiveRecord::Core#init_attributes
  0.03      0.033     0.001     0.000     0.032     3002   Time#minus_with_duration
  0.03      0.002     0.001     0.000     0.001     6000   ActiveRecord::Delegation#primary_key
  0.03      0.182     0.001     0.000     0.181     1000   #<Module:0x60b8338>#__temp__9646
  0.03      0.018     0.001     0.000     0.017     5000   Array#map!
  0.03      0.049     0.001     0.000     0.048     3002   Time#minus_with_coercion
  0.03      0.001     0.001     0.000     0.000    15000   ActiveRecord::Attribute#has_been_read?
  0.03      0.281     0.001     0.000     0.280     4000   ActiveRecord::ConnectionAdapters::SQLite3Adapter#_type_cast
  0.03      0.018     0.001     0.000     0.017     1000   Arel::InsertManager#insert
  0.03      0.001     0.001     0.000     0.000     5000   Hash#keys
  0.03      0.039     0.001     0.000     0.038     2000   ActiveRecord::AttributeMethods::TimeZoneConversion::TimeZoneConverter#type_cast_from_user
  0.03      0.087     0.001     0.000     0.086    20000   ActiveRecord::AttributeSet#fetch_value
  0.03      0.001     0.001     0.000     0.000     3002   SQLite3::Database#encoding
  0.03      0.017     0.001     0.000     0.016     1000   ActiveRecord::QueryMethods#build_order
  0.03      0.017     0.001     0.000     0.016     3002   <Class::ActiveRecord::LogSubscriber>#runtime
  0.03      0.038     0.001     0.000     0.037    10000   ActiveSupport::HashWithIndifferentAccess#update
  0.03      0.002     0.001     0.000     0.001     1000   ActiveRecord::Base#_commit_callbacks
  0.03      0.001     0.001     0.000     0.000     2000   Range#cover?
  0.03      0.001     0.001     0.000     0.000     7007   Time#initialize
  0.03      0.035     0.001     0.000     0.034     5000   ActiveModel::Dirty#set_attribute_was
  0.03      0.037     0.001     0.000     0.036     6002   Hash#each_pair
  0.03      0.001     0.001     0.000     0.000     4000   Module#const_get
  0.03      0.108     0.001     0.000     0.107     2002   Array#select
  0.03      0.241     0.001     0.000     0.240     1000   ActiveRecord::AttributeAssignment#assign_attributes
  0.03      0.137     0.001     0.000     0.136     3002   ActiveSupport::Notifications::Instrumenter#start
  0.03      0.036     0.001     0.000     0.035     2000   ActiveRecord::Transactions#remember_transaction_record_state
  0.03      0.197     0.001     0.000     0.196     2002   SQLite3::Database#prepare
  0.03      0.002     0.001     0.000     0.001     4000   <Class::Delegator>#const_missing
  0.03      0.001     0.001     0.000     0.000     7004   ActiveSupport::Callbacks::CallbackChain#empty?
  0.03      0.001     0.001     0.000     0.000     1000   Hash#transform_values
  0.03      0.054     0.001     0.000     0.053     3002   SQLite3::Statement#each
  0.03      0.053     0.001     0.000     0.052     2000   Integer#downto
  0.03      0.002     0.001     0.000     0.001     8003   <Class::ActiveRecord::RuntimeRegistry>#connection_id
  0.03      0.082     0.001     0.000     0.081     1000   ActiveRecord::AttributeMethods#arel_attributes_with_values
  0.03      0.001     0.001     0.000     0.000     4000   ActiveRecord::Type::Value#type_cast_from_database
  0.03      0.120     0.001     0.000     0.119     5000   ActiveRecord::AttributeMethods::Dirty#save_changed_attribute
  0.03      0.240     0.001     0.000     0.239     8000   ActiveRecord::AttributeMethods::Dirty#changed_attributes
